2022-01-18;633;Passaré/Centro                          ;16;Grat. Deficiente - S/Acomp;2
2022-01-18;633;Passaré/Centro                          ;31;Vt. Institucional;1
2022-01-18;633;Passaré/Centro                          ;37;VT Beneficio Piloto BUM;1
2022-01-18;634;Lagoa Redonda/Abreulândia/Esquerda      ;3;Estudante;2
2022-01-18;634;Lagoa Redonda/Abreulândia/Esquerda      ;4;Gratuidade Idoso;142
2022-01-18;634;Lagoa Redonda/Abreulândia/Esquerda      ;9;Vt. Identificação;1
2022-01-18;634;Lagoa Redonda/Abreulândia/Esquerda      ;11;Idoso Identificação;24
2022-01-18;634;Lagoa Redonda/Abreulândia/Esquerda      ;12;Estudante com débito;148
2022-01-18;634;Lagoa Redonda/Abreulândia/Esquerda      ;16;Grat. Deficiente - S/Acomp;8
2022-01-18;634;Lagoa Redonda/Abreulândia/Esquerda      ;31;Vt. Institucional;2
